WPT_charge_time,2188.1119355438673
WPT_charge_consumption,243123.54839376302
center,cluster_hover_height,furthest_sensor_center_distance
[778.36090734  95.61971543 193.        ],2,2.56
[ 182.15868089 1376.6227001   695.        ],2.26898655791523,3.93
[208.46885572 582.10834643 467.        ],2,0.32
[1220.55615527 1006.65685551  181.25      ],2.517247173666769,4.43
[193.50891784 752.84368992 576.        ],2,2.85
[  96.98143534 1302.06173716  738.        ],2,3.05
[  96.89974182 1307.37266612  719.        ],2,3.35
[195.95189621 753.5342421  559.        ],2,2.51
[202.06857786 579.63532139 467.        ],2.090007974466446,3.62
[202.67834569 573.69899626 467.        ],2,2.64
[779.50051809  89.1209951  193.        ],2.2805335632990227,3.95
[192.12482408 758.99277298 576.        ],2,0.27
