centroid_x,centroid_y,centroid_z
346910.62051192555,2646049.5078953276,291.0
346430.62051192555,2646409.5078953276,646.0
347330.62051192555,2645719.5078953276,221.0
346640.62051192555,2645569.5078953276,324.0
347240.62051192555,2646439.5078953276,241.0
347030.62051192555,2646019.5078953276,240.0
346220.62051192555,2645689.5078953276,516.0
346760.62051192555,2646799.5078953276,514.0
347630.62051192555,2646829.5078953276,241.0
347360.62051192555,2646079.5078953276,158.0
346940.62051192555,2646499.5078953276,396.0
346700.62051192555,2646019.5078953276,332.0
346670.62051192555,2645359.5078953276,268.0
346160.62051192555,2645299.5078953276,456.0
346190.62051192555,2646589.5078953276,718.0
347540.62051192555,2645449.5078953276,244.0
347090.62051192555,2645629.5078953276,176.0
347570.62051192555,2646169.5078953276,154.0
346610.62051192555,2646589.5078953276,611.0
346400.62051192555,2646079.5078953276,552.0
346940.62051192555,2645419.5078953276,195.0
346850.62051192555,2645989.5078953276,293.0
347060.62051192555,2646349.5078953276,269.0
346430.62051192555,2646769.5078953276,601.0
347420.62051192555,2646679.5078953276,289.0
346700.62051192555,2646349.5078953276,456.0
346520.62051192555,2645269.5078953276,331.0
346490.62051192555,2645839.5078953276,374.0
347060.62051192555,2646589.5078953276,407.0
347570.62051192555,2645929.5078953276,190.0
346940.62051192555,2646079.5078953276,279.0
347600.62051192555,2645629.5078953276,199.0
346820.62051192555,2645869.5078953276,247.0
346430.62051192555,2645629.5078953276,362.0
347090.62051192555,2646829.5078953276,496.0
347480.62051192555,2646799.5078953276,310.0
347510.62051192555,2645779.5078953276,231.0
346190.62051192555,2646349.5078953276,820.0
346910.62051192555,2646349.5078953276,336.0
346640.62051192555,2646199.5078953276,459.0
346850.62051192555,2646649.5078953276,536.0
347210.62051192555,2646079.5078953276,190.0
346700.62051192555,2645599.5078953276,287.0
346460.62051192555,2646619.5078953276,667.0
346160.62051192555,2645809.5078953276,627.0
347690.62051192555,2646289.5078953276,156.0
347240.62051192555,2645809.5078953276,173.0
346340.62051192555,2646169.5078953276,652.0
347270.62051192555,2646289.5078953276,194.0
346310.62051192555,2646349.5078953276,751.0
346970.62051192555,2645299.5078953276,213.0
346580.62051192555,2646079.5078953276,427.0
346250.62051192555,2645359.5078953276,464.0
346520.62051192555,2645389.5078953276,342.0
346970.62051192555,2646199.5078953276,285.0
347150.62051192555,2645629.5078953276,178.0
347060.62051192555,2645539.5078953276,182.0
346160.62051192555,2645569.5078953276,536.0
346490.62051192555,2646349.5078953276,586.0
346850.62051192555,2646499.5078953276,444.0
346490.62051192555,2646529.5078953276,671.0
346580.62051192555,2645509.5078953276,337.0
347630.62051192555,2645509.5078953276,195.0
346730.62051192555,2645509.5078953276,270.0
347420.62051192555,2645749.5078953276,247.0
346490.62051192555,2645689.5078953276,355.0
346460.62051192555,2645899.5078953276,405.0
346520.62051192555,2646739.5078953276,587.0
347060.62051192555,2645689.5078953276,187.0
346220.62051192555,2646649.5078953276,691.0
346670.62051192555,2646559.5078953276,575.0
347120.62051192555,2646409.5078953276,288.0
346880.62051192555,2645389.5078953276,200.0
347510.62051192555,2646229.5078953276,161.0
347180.62051192555,2645689.5078953276,173.0
346730.62051192555,2645389.5078953276,255.0
347420.62051192555,2646799.5078953276,334.0
346700.62051192555,2646769.5078953276,523.0
346670.62051192555,2645659.5078953276,282.0
346670.62051192555,2645419.5078953276,284.0
346430.62051192555,2646469.5078953276,676.0
346220.62051192555,2645749.5078953276,519.0
347510.62051192555,2646769.5078953276,285.0
347030.62051192555,2646619.5078953276,433.0
347030.62051192555,2646319.5078953276,264.0
347300.62051192555,2645749.5078953276,208.0
346820.62051192555,2645929.5078953276,262.0
347210.62051192555,2646439.5078953276,262.0
346820.62051192555,2645839.5078953276,250.0
346910.62051192555,2646079.5078953276,299.0
346430.62051192555,2646379.5078953276,631.0
346190.62051192555,2645299.5078953276,441.0
346850.62051192555,2645839.5078953276,237.0
347060.62051192555,2646379.5078953276,283.0
346190.62051192555,2646559.5078953276,732.0
346520.62051192555,2645299.5078953276,340.0
346760.62051192555,2646829.5078953276,503.0
347090.62051192555,2645689.5078953276,179.0
347270.62051192555,2646439.5078953276,233.0
