terrain_x,terrain_y,terrain_z
0.0,1560.0,584.0
30.0,1560.0,595.0
60.0,1560.0,601.0
90.0,1560.0,606.0
120.0,1560.0,607.0
150.0,1560.0,608.0
180.0,1560.0,610.0
210.0,1560.0,606.0
240.0,1560.0,595.0
270.0,1560.0,584.0
300.0,1560.0,572.0
330.0,1560.0,560.0
360.0,1560.0,552.0
390.0,1560.0,542.0
420.0,1560.0,530.0
450.0,1560.0,520.0
480.0,1560.0,518.0
510.0,1560.0,513.0
540.0,1560.0,510.0
570.0,1560.0,505.0
600.0,1560.0,502.0
630.0,1560.0,503.0
660.0,1560.0,498.0
690.0,1560.0,493.0
720.0,1560.0,493.0
750.0,1560.0,491.0
780.0,1560.0,494.0
810.0,1560.0,499.0
840.0,1560.0,502.0
870.0,1560.0,501.0
900.0,1560.0,499.0
930.0,1560.0,498.0
960.0,1560.0,496.0
990.0,1560.0,481.0
1020.0,1560.0,469.0
1050.0,1560.0,452.0
1080.0,1560.0,433.0
1110.0,1560.0,418.0
1140.0,1560.0,407.0
1170.0,1560.0,401.0
1200.0,1560.0,392.0
1230.0,1560.0,367.0
1260.0,1560.0,346.0
1290.0,1560.0,336.0
1320.0,1560.0,329.0
1350.0,1560.0,317.0
1380.0,1560.0,303.0
1410.0,1560.0,278.0
1440.0,1560.0,265.0
1470.0,1560.0,253.0
1500.0,1560.0,241.0
1530.0,1560.0,228.0
1560.0,1560.0,217.0
0.0,1530.0,601.0
30.0,1530.0,610.0
60.0,1530.0,615.0
90.0,1530.0,621.0
120.0,1530.0,623.0
150.0,1530.0,623.0
180.0,1530.0,622.0
210.0,1530.0,618.0
240.0,1530.0,607.0
270.0,1530.0,597.0
300.0,1530.0,587.0
330.0,1530.0,575.0
360.0,1530.0,568.0
390.0,1530.0,561.0
420.0,1530.0,547.0
450.0,1530.0,536.0
480.0,1530.0,531.0
510.0,1530.0,527.0
540.0,1530.0,519.0
570.0,1530.0,514.0
600.0,1530.0,514.0
630.0,1530.0,514.0
660.0,1530.0,513.0
690.0,1530.0,506.0
720.0,1530.0,504.0
750.0,1530.0,505.0
780.0,1530.0,510.0
810.0,1530.0,514.0
840.0,1530.0,512.0
870.0,1530.0,512.0
900.0,1530.0,512.0
930.0,1530.0,500.0
960.0,1530.0,481.0
990.0,1530.0,466.0
1020.0,1530.0,450.0
1050.0,1530.0,442.0
1080.0,1530.0,422.0
1110.0,1530.0,413.0
1140.0,1530.0,401.0
1170.0,1530.0,390.0
1200.0,1530.0,378.0
1230.0,1530.0,362.0
1260.0,1530.0,346.0
1290.0,1530.0,334.0
1320.0,1530.0,320.0
1350.0,1530.0,310.0
1380.0,1530.0,293.0
1410.0,1530.0,272.0
1440.0,1530.0,263.0
1470.0,1530.0,254.0
1500.0,1530.0,242.0
1530.0,1530.0,228.0
1560.0,1530.0,218.0
0.0,1500.0,618.0
30.0,1500.0,620.0
60.0,1500.0,625.0
90.0,1500.0,633.0
120.0,1500.0,637.0
150.0,1500.0,639.0
180.0,1500.0,635.0
210.0,1500.0,630.0
240.0,1500.0,623.0
270.0,1500.0,614.0
300.0,1500.0,601.0
330.0,1500.0,584.0
360.0,1500.0,579.0
390.0,1500.0,573.0
420.0,1500.0,562.0
450.0,1500.0,557.0
480.0,1500.0,549.0
510.0,1500.0,544.0
540.0,1500.0,529.0
570.0,1500.0,523.0
600.0,1500.0,521.0
630.0,1500.0,522.0
660.0,1500.0,523.0
690.0,1500.0,517.0
720.0,1500.0,515.0
750.0,1500.0,516.0
780.0,1500.0,522.0
810.0,1500.0,524.0
840.0,1500.0,521.0
870.0,1500.0,520.0
900.0,1500.0,513.0
930.0,1500.0,496.0
960.0,1500.0,471.0
990.0,1500.0,455.0
1020.0,1500.0,446.0
1050.0,1500.0,434.0
1080.0,1500.0,421.0
1110.0,1500.0,411.0
1140.0,1500.0,390.0
1170.0,1500.0,375.0
1200.0,1500.0,367.0
1230.0,1500.0,360.0
1260.0,1500.0,339.0
1290.0,1500.0,327.0
1320.0,1500.0,304.0
1350.0,1500.0,298.0
1380.0,1500.0,285.0
1410.0,1500.0,271.0
1440.0,1500.0,260.0
1470.0,1500.0,245.0
1500.0,1500.0,232.0
1530.0,1500.0,224.0
1560.0,1500.0,214.0
0.0,1470.0,636.0
30.0,1470.0,637.0
60.0,1470.0,638.0
90.0,1470.0,643.0
120.0,1470.0,648.0
150.0,1470.0,651.0
180.0,1470.0,649.0
210.0,1470.0,645.0
240.0,1470.0,638.0
270.0,1470.0,633.0
