terrain_x,terrain_y,terrain_z,wind_velocity,wind_angle
0.0,1560.0,584.0,3.7,39
30.0,1560.0,595.0,2.83,37
60.0,1560.0,601.0,2.54,39
90.0,1560.0,606.0,2.28,43
120.0,1560.0,607.0,1.99,47
150.0,1560.0,608.0,1.81,50
180.0,1560.0,610.0,1.65,55
210.0,1560.0,606.0,1.55,60
240.0,1560.0,595.0,1.44,63
270.0,1560.0,584.0,1.31,66
300.0,1560.0,572.0,1.22,63
330.0,1560.0,560.0,1.22,58
360.0,1560.0,552.0,1.33,57
390.0,1560.0,542.0,1.35,55
420.0,1560.0,530.0,1.31,53
450.0,1560.0,520.0,1.28,49
480.0,1560.0,518.0,1.38,43
510.0,1560.0,513.0,1.46,38
540.0,1560.0,510.0,1.62,31
570.0,1560.0,505.0,1.89,28
600.0,1560.0,502.0,2.08,27
630.0,1560.0,503.0,2.32,26
660.0,1560.0,498.0,2.46,24
690.0,1560.0,493.0,2.5,21
720.0,1560.0,493.0,2.73,19
750.0,1560.0,491.0,3.07,17
780.0,1560.0,494.0,3.3,16
810.0,1560.0,499.0,3.63,14
840.0,1560.0,502.0,3.95,11
870.0,1560.0,501.0,4.23,10
900.0,1560.0,499.0,4.67,9
930.0,1560.0,498.0,4.89,8
960.0,1560.0,496.0,4.97,10
990.0,1560.0,481.0,5.14,15
1020.0,1560.0,469.0,5.21,18
1050.0,1560.0,452.0,5.31,18
1080.0,1560.0,433.0,5.17,16
1110.0,1560.0,418.0,5.15,14
1140.0,1560.0,407.0,5.22,12
1170.0,1560.0,401.0,5.26,15
1200.0,1560.0,392.0,5.32,19
1230.0,1560.0,367.0,5.26,19
1260.0,1560.0,346.0,5.07,15
1290.0,1560.0,336.0,4.91,14
1320.0,1560.0,329.0,4.84,16
1350.0,1560.0,317.0,4.74,20
1380.0,1560.0,303.0,4.49,21
1410.0,1560.0,278.0,4.25,20
1440.0,1560.0,265.0,4.07,19
1470.0,1560.0,253.0,4.05,19
1500.0,1560.0,241.0,4.0,20
1530.0,1560.0,228.0,3.78,21
1560.0,1560.0,217.0,3.78,21
0.0,1530.0,601.0,3.7,39
30.0,1530.0,610.0,2.83,37
60.0,1530.0,615.0,2.54,39
90.0,1530.0,621.0,2.28,43
120.0,1530.0,623.0,1.99,47
150.0,1530.0,623.0,1.81,50
180.0,1530.0,622.0,1.65,55
210.0,1530.0,618.0,1.55,60
240.0,1530.0,607.0,1.44,63
270.0,1530.0,597.0,1.31,66
300.0,1530.0,587.0,1.22,63
330.0,1530.0,575.0,1.22,58
360.0,1530.0,568.0,1.33,57
390.0,1530.0,561.0,1.35,55
420.0,1530.0,547.0,1.31,53
450.0,1530.0,536.0,1.28,49
480.0,1530.0,531.0,1.38,43
510.0,1530.0,527.0,1.46,38
540.0,1530.0,519.0,1.62,31
570.0,1530.0,514.0,1.89,28
600.0,1530.0,514.0,2.08,27
630.0,1530.0,514.0,2.32,26
660.0,1530.0,513.0,2.46,24
690.0,1530.0,506.0,2.5,21
720.0,1530.0,504.0,2.73,19
750.0,1530.0,505.0,3.07,17
780.0,1530.0,510.0,3.3,16
810.0,1530.0,514.0,3.63,14
840.0,1530.0,512.0,3.95,11
870.0,1530.0,512.0,4.23,10
900.0,1530.0,512.0,4.67,9
930.0,1530.0,500.0,4.89,8
960.0,1530.0,481.0,4.97,10
990.0,1530.0,466.0,5.14,15
1020.0,1530.0,450.0,5.21,18
1050.0,1530.0,442.0,5.31,18
1080.0,1530.0,422.0,5.17,16
1110.0,1530.0,413.0,5.15,14
1140.0,1530.0,401.0,5.22,12
1170.0,1530.0,390.0,5.26,15
1200.0,1530.0,378.0,5.32,19
1230.0,1530.0,362.0,5.26,19
1260.0,1530.0,346.0,5.07,15
1290.0,1530.0,334.0,4.91,14
1320.0,1530.0,320.0,4.84,16
1350.0,1530.0,310.0,4.74,20
1380.0,1530.0,293.0,4.49,21
1410.0,1530.0,272.0,4.25,20
1440.0,1530.0,263.0,4.07,19
1470.0,1530.0,254.0,4.05,19
1500.0,1530.0,242.0,4.0,20
1530.0,1530.0,228.0,3.78,21
1560.0,1530.0,218.0,3.78,21
0.0,1500.0,618.0,3.7,39
30.0,1500.0,620.0,2.83,37
60.0,1500.0,625.0,2.54,39
90.0,1500.0,633.0,2.28,43
120.0,1500.0,637.0,1.99,47
150.0,1500.0,639.0,1.81,50
180.0,1500.0,635.0,1.65,55
210.0,1500.0,630.0,1.55,60
240.0,1500.0,623.0,1.44,63
270.0,1500.0,614.0,1.31,66
300.0,1500.0,601.0,1.22,63
330.0,1500.0,584.0,1.22,58
360.0,1500.0,579.0,1.33,57
390.0,1500.0,573.0,1.35,55
420.0,1500.0,562.0,1.31,53
450.0,1500.0,557.0,1.28,49
480.0,1500.0,549.0,1.38,43
510.0,1500.0,544.0,1.46,38
540.0,1500.0,529.0,1.62,31
570.0,1500.0,523.0,1.89,28
600.0,1500.0,521.0,2.08,27
630.0,1500.0,522.0,2.32,26
660.0,1500.0,523.0,2.46,24
690.0,1500.0,517.0,2.5,21
720.0,1500.0,515.0,2.73,19
750.0,1500.0,516.0,3.07,17
780.0,1500.0,522.0,3.3,16
810.0,1500.0,524.0,3.63,14
840.0,1500.0,521.0,3.95,11
870.0,1500.0,520.0,4.23,10
900.0,1500.0,513.0,4.67,9
930.0,1500.0,496.0,4.89,8
960.0,1500.0,471.0,4.97,10
990.0,1500.0,455.0,5.14,15
1020.0,1500.0,446.0,5.21,18
1050.0,1500.0,434.0,5.31,18
1080.0,1500.0,421.0,5.17,16
1110.0,1500.0,411.0,5.15,14
1140.0,1500.0,390.0,5.22,12
1170.0,1500.0,375.0,5.26,15
1200.0,1500.0,367.0,5.32,19
1230.0,1500.0,360.0,5.26,19
1260.0,1500.0,339.0,5.07,15
1290.0,1500.0,327.0,4.91,14
1320.0,1500.0,304.0,4.84,16
1350.0,1500.0,298.0,4.74,20
1380.0,1500.0,285.0,4.49,21
1410.0,1500.0,271.0,4.25,20
1440.0,1500.0,260.0,4.07,19
1470.0,1500.0,245.0,4.05,19
1500.0,1500.0,232.0,4.0,20
1530.0,1500.0,224.0,3.78,21
1560.0,1500.0,214.0,3.78,21
0.0,1470.0,636.0,4.23,46
30.0,1470.0,637.0,3.17,42
60.0,1470.0,638.0,2.88,41
90.0,1470.0,643.0,2.71,41
120.0,1470.0,648.0,2.52,43
150.0,1470.0,651.0,2.37,44
180.0,1470.0,649.0,2.12,45
210.0,1470.0,645.0,1.97,45
240.0,1470.0,638.0,1.89,45
270.0,1470.0,633.0,1.71,44
300.0,1470.0,621.0,1.48,42
330.0,1470.0,606.0,1.41,39
360.0,1470.0,595.0,1.53,36
390.0,1470.0,587.0,1.72,34
420.0,1470.0,584.0,1.76,31
450.0,1470.0,582.0,1.78,24
480.0,1470.0,564.0,1.96,18
510.0,1470.0,554.0,2.08,18
540.0,1470.0,543.0,2.1,17
570.0,1470.0,535.0,2.21,16
600.0,1470.0,532.0,2.35,16
630.0,1470.0,530.0,2.69,16
660.0,1470.0,534.0,2.98,15
690.0,1470.0,531.0,3.09,12
720.0,1470.0,523.0,3.39,9
750.0,1470.0,524.0,3.79,8
780.0,1470.0,527.0,4.08,8
810.0,1470.0,527.0,4.45,7
840.0,1470.0,526.0,4.74,6
870.0,1470.0,518.0,4.94,5
900.0,1470.0,499.0,5.18,7
930.0,1470.0,482.0,5.21,11
960.0,1470.0,462.0,5.06,12
990.0,1470.0,447.0,4.99,15
1020.0,1470.0,435.0,5.16,17
1050.0,1470.0,426.0,5.25,18
1080.0,1470.0,418.0,5.29,17
1110.0,1470.0,408.0,5.08,15
1140.0,1470.0,381.0,4.87,13
1170.0,1470.0,365.0,4.79,17
1200.0,1470.0,361.0,5.08,20
1230.0,1470.0,349.0,5.24,20
1260.0,1470.0,336.0,5.08,18
1290.0,1470.0,315.0,4.8,19
1320.0,1470.0,302.0,4.49,20
1350.0,1470.0,290.0,4.42,24
1380.0,1470.0,277.0,4.44,24
1410.0,1470.0,267.0,4.33,23
1440.0,1470.0,253.0,4.08,21
1470.0,1470.0,235.0,3.9,22
1500.0,1470.0,226.0,3.85,23
1530.0,1470.0,218.0,3.79,24
1560.0,1470.0,205.0,3.79,24
0.0,1440.0,651.0,4.53,49
30.0,1440.0,649.0,3.49,43
60.0,1440.0,651.0,3.11,42
90.0,1440.0,657.0,2.82,42
120.0,1440.0,662.0,2.64,42
150.0,1440.0,663.0,2.55,42
180.0,1440.0,662.0,2.38,41
210.0,1440.0,661.0,2.21,39
240.0,1440.0,651.0,2.17,36
270.0,1440.0,645.0,2.13,34
300.0,1440.0,638.0,1.92,30
330.0,1440.0,626.0,1.81,26
360.0,1440.0,612.0,1.85,22
390.0,1440.0,603.0,2.08,21
420.0,1440.0,598.0,2.24,19
450.0,1440.0,590.0,2.41,14
480.0,1440.0,574.0,2.48,11
510.0,1440.0,567.0,2.51,13
540.0,1440.0,556.0,2.55,13
570.0,1440.0,551.0,2.57,11
600.0,1440.0,548.0,2.66,11
630.0,1440.0,545.0,2.94,9
660.0,1440.0,543.0,3.4,9
690.0,1440.0,541.0,3.6,7
720.0,1440.0,536.0,3.8,5
750.0,1440.0,535.0,4.13,4
780.0,1440.0,532.0,4.4,4
810.0,1440.0,528.0,4.75,4
840.0,1440.0,522.0,5.01,4
870.0,1440.0,504.0,5.09,5
900.0,1440.0,484.0,5.07,8
930.0,1440.0,464.0,5.1,14
960.0,1440.0,449.0,5.09,15
990.0,1440.0,436.0,5.03,16
1020.0,1440.0,427.0,5.09,18
1050.0,1440.0,414.0,5.24,18
1080.0,1440.0,409.0,5.37,18
1110.0,1440.0,397.0,5.23,17
1140.0,1440.0,373.0,4.94,15
1170.0,1440.0,360.0,4.73,16
1200.0,1440.0,342.0,4.99,19
1230.0,1440.0,332.0,5.18,21
1260.0,1440.0,321.0,5.21,21
1290.0,1440.0,306.0,4.91,22
1320.0,1440.0,296.0,4.73,23
1350.0,1440.0,286.0,4.45,25
1380.0,1440.0,273.0,4.36,25
1410.0,1440.0,262.0,4.28,24
1440.0,1440.0,246.0,4.04,23
1470.0,1440.0,231.0,3.8,24
1500.0,1440.0,220.0,3.76,25
1530.0,1440.0,210.0,3.71,26
1560.0,1440.0,197.0,3.71,26
0.0,1410.0,663.0,4.79,50
30.0,1410.0,666.0,3.8,46
60.0,1410.0,671.0,3.38,45
90.0,1410.0,678.0,3.01,43
120.0,1410.0,679.0,2.78,40
150.0,1410.0,677.0,2.7,39
180.0,1410.0,676.0,2.6,36
210.0,1410.0,671.0,2.51,32
240.0,1410.0,662.0,2.45,28
270.0,1410.0,653.0,2.51,25
300.0,1410.0,650.0,2.55,20
330.0,1410.0,636.0,2.56,16
360.0,1410.0,623.0,2.57,11
390.0,1410.0,615.0,2.68,9
420.0,1410.0,607.0,2.8,8
450.0,1410.0,597.0,2.97,8
480.0,1410.0,581.0,3.15,8
510.0,1410.0,573.0,3.24,9
540.0,1410.0,569.0,3.28,8
570.0,1410.0,565.0,3.39,6
600.0,1410.0,563.0,3.5,5
630.0,1410.0,560.0,3.72,2
660.0,1410.0,557.0,4.12,1
690.0,1410.0,548.0,4.49,1
720.0,1410.0,545.0,4.89,1
750.0,1410.0,542.0,5.06,1
780.0,1410.0,534.0,5.12,1
810.0,1410.0,528.0,5.13,3
840.0,1410.0,515.0,5.07,5
870.0,1410.0,495.0,4.95,7
900.0,1410.0,471.0,4.79,12
930.0,1410.0,458.0,4.73,16
960.0,1410.0,438.0,4.81,17
990.0,1410.0,426.0,4.93,17
1020.0,1410.0,416.0,5.01,18
1050.0,1410.0,406.0,5.03,18
1080.0,1410.0,394.0,5.2,20
1110.0,1410.0,379.0,5.27,21
1140.0,1410.0,362.0,5.11,19
1170.0,1410.0,348.0,4.73,18
1200.0,1410.0,328.0,4.46,20
1230.0,1410.0,309.0,4.63,23
1260.0,1410.0,299.0,4.97,26
1290.0,1410.0,289.0,5.03,26
1320.0,1410.0,285.0,4.94,26
1350.0,1410.0,276.0,4.76,27
1380.0,1410.0,270.0,4.47,27
1410.0,1410.0,258.0,4.3,26
1440.0,1410.0,240.0,4.1,26
1470.0,1410.0,228.0,3.88,26
1500.0,1410.0,220.0,3.71,27
1530.0,1410.0,206.0,3.56,28
1560.0,1410.0,195.0,3.56,28
0.0,1380.0,680.0,4.95,52
30.0,1380.0,683.0,4.08,47
60.0,1380.0,690.0,3.72,43
90.0,1380.0,691.0,3.39,39
120.0,1380.0,694.0,3.14,36
150.0,1380.0,694.0,3.0,35
180.0,1380.0,695.0,2.8,32
210.0,1380.0,685.0,2.66,29
240.0,1380.0,678.0,2.57,26
270.0,1380.0,673.0,2.51,20
300.0,1380.0,659.0,2.74,14
330.0,1380.0,648.0,2.84,12
360.0,1380.0,633.0,2.97,8
390.0,1380.0,625.0,3.09,5
420.0,1380.0,615.0,3.18,5
450.0,1380.0,606.0,3.34,4
480.0,1380.0,591.0,3.54,4
510.0,1380.0,584.0,3.69,4
540.0,1380.0,580.0,3.99,3
570.0,1380.0,578.0,4.32,1
600.0,1380.0,573.0,4.59,0
630.0,1380.0,572.0,4.9,359
660.0,1380.0,565.0,5.18,358
690.0,1380.0,548.0,5.45,357
720.0,1380.0,536.0,5.74,360
750.0,1380.0,529.0,5.79,3
780.0,1380.0,525.0,5.73,4
810.0,1380.0,518.0,5.48,6
840.0,1380.0,499.0,5.23,9
870.0,1380.0,470.0,5.09,12
900.0,1380.0,452.0,4.92,16
930.0,1380.0,436.0,4.93,18
960.0,1380.0,425.0,4.86,18
990.0,1380.0,411.0,4.83,18
1020.0,1380.0,399.0,4.92,19
1050.0,1380.0,391.0,4.93,20
1080.0,1380.0,374.0,4.85,22
1110.0,1380.0,359.0,4.94,25
1140.0,1380.0,347.0,4.89,25
1170.0,1380.0,336.0,4.55,24
1200.0,1380.0,318.0,4.05,22
1230.0,1380.0,290.0,3.91,23
1260.0,1380.0,283.0,4.24,29
1290.0,1380.0,281.0,4.53,30
1320.0,1380.0,276.0,4.65,31
1350.0,1380.0,271.0,4.69,30
1380.0,1380.0,265.0,4.62,29
1410.0,1380.0,250.0,4.49,28
1440.0,1380.0,234.0,4.32,27
1470.0,1380.0,229.0,4.19,28
1500.0,1380.0,220.0,4.06,28
1530.0,1380.0,210.0,3.71,28
1560.0,1380.0,197.0,3.71,28
0.0,1350.0,697.0,5.0,53
30.0,1350.0,698.0,4.14,46
60.0,1350.0,700.0,3.84,42
90.0,1350.0,702.0,3.51,37
120.0,1350.0,702.0,3.38,34
150.0,1350.0,707.0,3.28,32
180.0,1350.0,707.0,3.16,28
210.0,1350.0,705.0,2.95,26
240.0,1350.0,711.0,2.77,24
270.0,1350.0,698.0,2.71,14
300.0,1350.0,679.0,2.9,10
330.0,1350.0,667.0,3.03,8
360.0,1350.0,653.0,3.18,5
390.0,1350.0,642.0,3.31,3
420.0,1350.0,627.0,3.44,2
450.0,1350.0,619.0,3.66,2
480.0,1350.0,602.0,4.0,0
510.0,1350.0,594.0,4.21,1
540.0,1350.0,592.0,4.53,360
570.0,1350.0,585.0,4.97,358
600.0,1350.0,575.0,5.29,358
630.0,1350.0,564.0,5.6,359
660.0,1350.0,555.0,5.67,359
690.0,1350.0,538.0,5.7,359
720.0,1350.0,517.0,5.62,0
750.0,1350.0,512.0,5.51,4
780.0,1350.0,502.0,5.46,6
810.0,1350.0,486.0,5.33,10
840.0,1350.0,469.0,5.02,14
870.0,1350.0,453.0,4.73,17
900.0,1350.0,433.0,4.54,19
930.0,1350.0,419.0,4.55,20
960.0,1350.0,406.0,4.62,20
990.0,1350.0,394.0,4.6,19
1020.0,1350.0,382.0,4.61,21
1050.0,1350.0,370.0,4.64,23
1080.0,1350.0,352.0,4.59,25
1110.0,1350.0,343.0,4.64,28
1140.0,1350.0,335.0,4.63,28
1170.0,1350.0,326.0,4.44,27
1200.0,1350.0,305.0,4.04,24
1230.0,1350.0,283.0,3.74,23
1260.0,1350.0,273.0,3.99,28
1290.0,1350.0,269.0,4.41,30
1320.0,1350.0,267.0,4.57,30
1350.0,1350.0,263.0,4.7,31
1380.0,1350.0,257.0,4.66,30
1410.0,1350.0,244.0,4.54,29
1440.0,1350.0,228.0,4.42,27
1470.0,1350.0,219.0,4.44,28
1500.0,1350.0,212.0,4.38,28
1530.0,1350.0,206.0,4.1,28
1560.0,1350.0,194.0,4.1,28
0.0,1320.0,711.0,5.07,52
30.0,1320.0,713.0,4.17,46
60.0,1320.0,718.0,3.82,43
90.0,1320.0,719.0,3.45,38
120.0,1320.0,722.0,3.24,32
150.0,1320.0,722.0,3.26,28
180.0,1320.0,719.0,3.47,22
210.0,1320.0,720.0,3.82,17
240.0,1320.0,721.0,3.94,14
