sensor_x,sensor_y,sensor_z
343180.0812781945,2644857.7016372033,1180.0
339933.10211152787,2642770.3578872033,1514.0
351297.5291948612,2652743.2224705364,473.0
345267.4250281945,2648104.68080387,1376.0
340628.88336152787,2645321.55580387,1955.0
352921.01877819456,2649728.1703872033,63.0
340628.88336152787,2656917.9099705364,603.0
339933.10211152787,2649960.0974705364,1274.0
352689.0916948612,2649960.0974705364,64.0
347354.7687781945,2656685.9828872033,1775.0
339469.2479448612,2647640.8266372033,1787.0
348050.5500281945,2645553.4828872033,149.0
343643.9354448612,2651119.7328872033,382.0
351993.3104448612,2650423.9516372033,89.0
345267.4250281945,2652975.14955387,395.0
351529.45627819456,2654830.5662205364,359.0
350833.67502819456,2643002.2849705364,39.0
346195.13336152787,2647872.7537205364,687.0
343643.9354448612,2655294.4203872033,1064.0
350137.8937781945,2648568.5349705364,93.0
352921.01877819456,2647872.7537205364,61.0
351297.5291948612,2650192.02455387,159.0
349905.9666948612,2654598.6391372033,844.0
343643.9354448612,2645321.55580387,1365.0
353616.80002819456,2647176.9724705364,54.0
348978.25836152787,2655526.3474705364,1067.0
343875.8625281945,2649960.0974705364,480.0
354544.50836152787,2654598.6391372033,54.0
347586.69586152787,2654830.5662205364,1854.0
339933.10211152787,2656917.9099705364,669.0
342484.3000281945,2645089.6287205364,1793.0
342252.3729448612,2655758.27455387,1164.0
342252.3729448612,2649496.24330387,1295.0
351993.3104448612,2643698.0662205364,39.0
339701.1750281945,2655758.27455387,471.0
346427.0604448612,2645321.55580387,359.0
351761.38336152787,2655294.4203872033,233.0
351761.38336152787,2652511.2953872033,413.0
347586.69586152787,2652047.4412205364,335.0
346195.13336152787,2649728.1703872033,644.0
345499.35211152787,2645553.4828872033,758.0
348050.5500281945,2648104.68080387,152.0
346890.91461152787,2648568.5349705364,608.0
351065.60211152787,2651119.7328872033,523.0
350833.67502819456,2657149.83705387,771.0
343412.00836152787,2654366.71205387,830.0
348282.47711152787,2643698.0662205364,102.0
353152.94586152787,2644161.9203872033,39.0
353848.72711152787,2643002.2849705364,28.0
349442.1125281945,2657149.83705387,576.0
346195.13336152787,2644161.9203872033,394.0
351065.60211152787,2650192.02455387,196.0
352457.16461152787,2649960.0974705364,69.0
352225.23752819456,2654134.7849705364,355.0
344339.7166948612,2645785.4099705364,1283.0
342020.44586152787,2648800.46205387,1723.0
351761.38336152787,2653207.0766372033,260.0
350601.7479448612,2645553.4828872033,63.0
353152.94586152787,2649032.3891372033,63.0
353848.72711152787,2648104.68080387,53.0
353616.80002819456,2644857.7016372033,41.0
345499.35211152787,2652975.14955387,414.0
