terrain_x,terrain_y,terrain_z
346130.62051192555,2646829.5078953276,584.0
346160.62051192555,2646829.5078953276,595.0
346190.62051192555,2646829.5078953276,601.0
346220.62051192555,2646829.5078953276,606.0
346250.62051192555,2646829.5078953276,607.0
346280.62051192555,2646829.5078953276,608.0
346310.62051192555,2646829.5078953276,610.0
346340.62051192555,2646829.5078953276,606.0
346370.62051192555,2646829.5078953276,595.0
346400.62051192555,2646829.5078953276,584.0
346430.62051192555,2646829.5078953276,572.0
346460.62051192555,2646829.5078953276,560.0
346490.62051192555,2646829.5078953276,552.0
346520.62051192555,2646829.5078953276,542.0
346550.62051192555,2646829.5078953276,530.0
346580.62051192555,2646829.5078953276,520.0
346610.62051192555,2646829.5078953276,518.0
346640.62051192555,2646829.5078953276,513.0
346670.62051192555,2646829.5078953276,510.0
346700.62051192555,2646829.5078953276,505.0
346730.62051192555,2646829.5078953276,502.0
346760.62051192555,2646829.5078953276,503.0
346790.62051192555,2646829.5078953276,498.0
346820.62051192555,2646829.5078953276,493.0
346850.62051192555,2646829.5078953276,493.0
346880.62051192555,2646829.5078953276,491.0
346910.62051192555,2646829.5078953276,494.0
346940.62051192555,2646829.5078953276,499.0
346970.62051192555,2646829.5078953276,502.0
347000.62051192555,2646829.5078953276,501.0
347030.62051192555,2646829.5078953276,499.0
347060.62051192555,2646829.5078953276,498.0
347090.62051192555,2646829.5078953276,496.0
347120.62051192555,2646829.5078953276,481.0
347150.62051192555,2646829.5078953276,469.0
347180.62051192555,2646829.5078953276,452.0
347210.62051192555,2646829.5078953276,433.0
347240.62051192555,2646829.5078953276,418.0
347270.62051192555,2646829.5078953276,407.0
347300.62051192555,2646829.5078953276,401.0
347330.62051192555,2646829.5078953276,392.0
347360.62051192555,2646829.5078953276,367.0
347390.62051192555,2646829.5078953276,346.0
347420.62051192555,2646829.5078953276,336.0
347450.62051192555,2646829.5078953276,329.0
347480.62051192555,2646829.5078953276,317.0
347510.62051192555,2646829.5078953276,303.0
347540.62051192555,2646829.5078953276,278.0
347570.62051192555,2646829.5078953276,265.0
347600.62051192555,2646829.5078953276,253.0
347630.62051192555,2646829.5078953276,241.0
347660.62051192555,2646829.5078953276,228.0
347690.62051192555,2646829.5078953276,217.0
346130.62051192555,2646799.5078953276,601.0
346160.62051192555,2646799.5078953276,610.0
346190.62051192555,2646799.5078953276,615.0
346220.62051192555,2646799.5078953276,621.0
346250.62051192555,2646799.5078953276,623.0
346280.62051192555,2646799.5078953276,623.0
346310.62051192555,2646799.5078953276,622.0
346340.62051192555,2646799.5078953276,618.0
346370.62051192555,2646799.5078953276,607.0
346400.62051192555,2646799.5078953276,597.0
346430.62051192555,2646799.5078953276,587.0
346460.62051192555,2646799.5078953276,575.0
346490.62051192555,2646799.5078953276,568.0
346520.62051192555,2646799.5078953276,561.0
346550.62051192555,2646799.5078953276,547.0
346580.62051192555,2646799.5078953276,536.0
346610.62051192555,2646799.5078953276,531.0
346640.62051192555,2646799.5078953276,527.0
346670.62051192555,2646799.5078953276,519.0
346700.62051192555,2646799.5078953276,514.0
346730.62051192555,2646799.5078953276,514.0
346760.62051192555,2646799.5078953276,514.0
346790.62051192555,2646799.5078953276,513.0
346820.62051192555,2646799.5078953276,506.0
346850.62051192555,2646799.5078953276,504.0
346880.62051192555,2646799.5078953276,505.0
346910.62051192555,2646799.5078953276,510.0
346940.62051192555,2646799.5078953276,514.0
